Question,difficulty,LLM,temp,N of Docs,Score (Joshna),Score (Mami),Score (Komal),Score (Paul),Type of error,Additional Notes,,,
How can I check what slices I have?,Easy,Codestral,0,0,2,2,,,syntactical,messes up import statement,,No RAG average,0.8125
How can I check what slices I have?,Easy,Codellama:latest,0,0,1,1,,,syntactical,messes up import statement + get/list slice function,,2 documents average,3.375
How can I check what slices I have?,Easy,Codellama:13b,0,0,2,2,,,syntactical,messes up import statement,,4 documents average,3.208333333
How can I check what slices I have?,Easy,mistral-small,0,0,2,2,,,syntactical,messes up import statement,,,
How can I check what slices I have?,Easy,codegemma:7b,0,0,2,2,,,syntactical,messes up import statement. get_slices return slice objects rather than names (which is what we typically want),,Easy (0),1.6875
How can I check what slices I have?,Easy,phi4,0,0,1,2,,,syntactical,"messes up import statement + get/list slice function. Actually, the import statement is correct, but there is no such method as get_all_slices()/MH.",,Easy (2),3.75
How can I check what slices I have?,Easy,deepseek-coder-v2,0,0,2,1,,,syntactical,messes up import statement. fablib.initialize() does not exist,,Easy (4),3.625
How can I check what slices I have?,Easy,gpt-4o-mini,0,0,2,1,,,syntactical,messes up import statement and some made-up syntax,,Med (0),0.75
How can I check what slices I have?,Easy,Codestral,0,2,4,4,,,,,,Med (2),3.25
How can I check what slices I have?,Easy,Codellama:latest,0,2,4,4,,,,,,Med (4),3.25
How can I check what slices I have?,Easy,Codellama:13b,0,2,3,3,,,syntactical + logical,tries to iterate and print throguh slices list as though it's a dictionary when it's a Styler object(works w/ get_slices but not list-slices),,Hard (0),0
How can I check what slices I have?,Easy,mistral-small,0,2,4,4,,,,"Includes ""fields"" I have never used before!",,Hard (2),3.125
How can I check what slices I have?,Easy,codegemma:7b,0,2,4,4,,,,,,Hard (4),2.75
How can I check what slices I have?,Easy,phi4,0,2,4,3,,,,Iteration issue here as well.,,,
How can I check what slices I have?,Easy,deepseek-coder-v2,0,2,4,4,,,,,,,
How can I check what slices I have?,Easy,gpt-4o-mini,0,2,4,3,,,,"All correct, except for the last cell, which tries to iterate and print slices",,,
How can I check what slices I have?,Easy,Codestral,0,4,4,4,,,,concise,,,
How can I check what slices I have?,Easy,Codellama:latest,0,4,4,4,,,,the import is interesting--different from how the import is normally done,,,
How can I check what slices I have?,Easy,Codellama:13b,0,4,3,3,,,syntactical + logical,tries to iterate and print throguh slices list as though it's a dictionary when it's a Styler object(works w/ get_slices but not list-slices),,,
How can I check what slices I have?,Easy,mistral-small,0,4,4,4,,,,,,,
How can I check what slices I have?,Easy,codegemma:7b,0,4,4,4,,,,,,,
How can I check what slices I have?,Easy,phi4,0,4,3,3,,,syntactical + logical,tries to iterate and print throguh slices list as though it's a dictionary when it's a Styler object(works w/ get_slices but not list-slices),,,
How can I check what slices I have?,Easy,deepseek-coder-v2,0,4,4,4,,,,,,,
How can I check what slices I have?,Easy,gpt-4o-mini,0,4,3,3,,,syntactical + logical,tries to iterate and print throguh slices list as though it's a dictionary when it's a Styler object(works w/ get_slices but not list-slices),,,
How can I look up when my slices expire and extend them by 20 days?,Medium,Codestral,0,0,1,1,,,syntactical + logical,messed up import statement + wrong function names + misunderstood how the renew/extend function works,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,Codellama:latest,0,0,1,1,,,syntactical + logical,messed up import statement + wrong function names + misunderstood how the renew/extend and get_slices functions work,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,Codellama:13b,0,0,1,0,,,syntactical + logical,messed up import statement + wrong function names + misunderstood how the renew/extend function works + generates unneccessary code for authentication,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,mistral-small,0,0,1,0,,,syntactical + logical,messed up import statement + wrong function names + misunderstood how the renew/extend and get_slices functions work,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,codegemma:7b,0,0,1,0,,,syntactical + logical,messed up import statement + wrong function names + misunderstood how the renew/extend function works,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,phi4,0,0,1,0,,,syntactical + logical,messed up import statement + wrong function names + misunderstood how the renew/extend and get_slices functions work,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,deepseek-coder-v2,0,0,2,1,,,,misunderstood how the renew/extend and get_slices functions work,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,gpt-4o-mini,0,0,1,0,,,,messed up import statement + wrong function names,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,Codestral,0,2,3,3,,,syntactical + logical,tries to iterate and print throguh slices list as though it's a dictionary when it's a Styler object(works w/ get_slices but not list-slices),,,
How can I look up when my slices expire and extend them by 20 days?,Medium,Codellama:latest,0,2,4,4,,,,,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,Codellama:13b,0,2,3,3,,,syntactical,fails to import datetime module which causes an error but all FABRIC info is correct,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,mistral-small,0,2,2,3,,,syntactical + logical,tries to iterate and print throguh slices list as though it's a dictionary when it's a Styler object(works w/ get_slices but not list-slices) which means it is unable to grab a slice even thoguh it has the right logic and syntax for renew function,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,codegemma:7b,0,2,2,3,,,syntactical + logical,tries to iterate and print throguh slices list as though it's a dictionary when it's a Styler object(works w/ get_slices but not list-slices) which means it is unable to grab a slice even thoguh it has the right logic and syntax for renew function,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,phi4,0,2,4,4,,,,,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,deepseek-coder-v2,0,2,4,4,,,,,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,gpt-4o-mini,0,2,3,3,,,syntactical + logical,"all FABRIC stuff is correct, but the way the new lease time is calculated using datetime is wrong.",,,
How can I look up when my slices expire and extend them by 20 days?,Medium,Codestral,0,4,4,4,,,,,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,Codellama:latest,0,4,3,2,,,syntactical+logical,uses a is_expired function that is not a fablib function,,,
